Trajectories
100
,,Hand:Center,,,Hand:Thumb,,,Hand:Root,,,Hand:Index,,,Hand:Pinky,,,ArmJoint6:ToEnd1,,,ArmJoint6:ToEnd2,,,ArmJoint6:Joint61,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
24,0,191.369141,452.711884,338.760376,166.799988,396.383148,322.468109,224.780975,471.955750,341.883362,111.566040,431.872620,334.517792,131.199188,511.606689,320.760559,-119.736580,3.332418,614.197632,-134.752579,0.553930,544.780640,-117.126343,3.097267,657.540100
25,0,190.783203,452.365265,338.313995,166.272827,396.037292,321.879608,224.196976,471.646240,341.466492,111.010414,431.417938,333.926636,130.571503,511.236908,320.370148,-119.736137,3.329117,614.194641,-134.751877,0.553346,544.778992,-117.125313,3.094585,657.539734
26,0,190.139908,452.048004,337.816864,165.664932,395.709351,321.314911,223.547150,471.339508,341.015503,110.359726,431.080505,333.323792,129.916397,510.889099,319.831116,-119.734711,3.318462,614.184082,-134.753952,0.539610,544.767761,-117.122002,3.079321,657.525818
27,0,189.427704,451.792572,337.298767,164.962524,395.439789,320.823944,222.839371,471.056061,340.545288,109.666824,430.807495,332.709106,129.231308,510.614380,319.134399,-119.732658,3.307618,614.180542,-134.750626,0.529887,544.759766,-117.121269,3.072383,657.521790
28,0,188.657867,451.567688,336.807770,164.178238,395.199921,320.399841,222.087921,470.821747,340.078033,108.872955,430.631531,332.083435,128.517014,510.397125,318.352753,-119.731491,3.314229,614.193481,-134.752441,0.541327,544.771118,-117.124649,3.083813,657.533752
29,0,187.825089,451.337463,336.303040,163.333359,394.948303,319.965424,221.276718,470.584839,339.591705,108.006393,430.491180,331.423615,127.776459,510.236755,317.517792,-119.739151,3.331308,614.191833,-134.755722,0.552304,544.770691,-117.130508,3.094778,657.532776
30,0,186.709976,451.431885,335.566010,162.433502,394.639282,319.471497,220.422562,470.276062,339.128937,107.109528,430.287109,330.743622,126.982140,510.021851,316.737000,-119.738075,3.331835,614.183105,-134.753006,0.551285,544.763733,-117.126839,3.095217,657.526306
31,0,185.882431,450.972504,335.131653,161.092529,394.690704,318.919281,219.514847,469.936951,338.730042,106.162704,430.052734,330.093658,126.154228,509.773315,316.126068,-119.731369,3.327952,614.187317,-134.745392,0.550917,544.768250,-117.121292,3.096217,657.530029
32,0,184.934662,450.576782,334.744690,160.497604,393.999420,318.441040,218.564117,469.573608,338.370697,105.167259,429.761902,329.508209,125.277534,509.496521,315.637543,-119.723434,3.327461,614.192871,-134.741608,0.549007,544.771912,-117.112228,3.090611,657.535522
33,0,184.023697,450.020172,334.515564,159.495560,393.657043,318.022186,217.580276,469.211029,338.023682,104.157509,429.436737,328.978058,124.326675,509.167358,315.190552,-119.730377,3.322145,614.184631,-134.745911,0.549172,544.760742,-117.116127,3.095339,657.527588
34,0,183.058609,449.704834,334.028687,158.467560,393.275696,317.723511,216.539734,468.840912,337.680908,103.122429,429.090485,328.568573,123.321297,508.787750,314.718750,-119.731926,3.319363,614.183289,-134.747498,0.540574,544.764221,-117.116570,3.087003,657.527954
35,0,181.928726,449.328033,333.845795,157.414139,392.921967,317.515228,215.485947,468.502747,337.360168,102.062454,428.762390,328.239563,122.277962,508.431427,314.188141,-119.732208,3.314903,614.190796,-134.743698,0.534532,544.772827,-117.114891,3.083792,657.533569
36,0,180.855270,448.992035,333.562134,156.348022,392.559967,317.350281,214.421967,468.169495,337.057556,100.984482,428.435272,327.938416,121.215042,508.062256,313.684967,-119.729935,3.317198,614.185303,-134.743744,0.534769,544.763000,-117.113113,3.082587,657.527771
37,0,179.743561,448.644653,333.320831,155.261108,392.190582,317.162537,213.310165,467.838684,336.807709,99.878716,428.072021,327.634033,120.109055,507.694794,313.281342,-119.733109,3.320204,614.169312,-134.750244,0.540098,544.746826,-117.115494,3.081662,657.512451
38,0,178.573807,448.234772,333.116455,154.131119,391.772888,316.921173,212.136200,467.426605,336.650024,98.721733,427.616791,327.373291,118.928146,507.281250,313.070343,-119.729988,3.312065,614.179077,-134.748779,0.534927,544.755432,-117.120262,3.083622,657.523438
39,0,177.352112,447.786835,332.957581,152.965836,391.339081,316.602142,210.918579,467.008240,336.553589,97.518929,427.115967,327.109253,117.674721,506.836945,313.038086,-119.736366,3.319531,614.188110,-134.750168,0.540139,544.763916,-117.122520,3.088708,657.532349
40,0,176.102966,447.312042,332.832275,151.420898,391.262421,316.170746,209.656662,466.550690,336.511017,96.272041,426.603760,326.852478,116.366722,506.389618,313.123840,-119.732956,3.323785,614.180725,-134.746307,0.542957,544.762634,-117.116898,3.089759,657.526733
41,0,174.794830,446.854034,332.738953,150.499939,390.483795,315.902771,208.352600,466.126892,336.484467,94.975975,426.062378,326.640015,115.028130,505.946503,313.267609,-119.728333,3.323563,614.172729,-134.745941,0.546709,544.753662,-117.119339,3.088831,657.518188
42,0,173.444336,446.417603,332.671082,149.192703,390.066711,315.668396,206.990524,465.700531,336.474457,93.663712,425.573273,326.514496,113.651161,505.502686,313.379089,-119.731422,3.319408,614.190369,-134.744293,0.538710,544.768982,-117.119774,3.087853,657.531006
43,0,172.065994,446.013977,332.627106,147.825531,389.673309,315.550171,205.599655,465.299835,336.457947,92.286560,425.165466,326.464386,112.240128,505.103882,313.387177,-119.736176,3.320559,614.196777,-134.749115,0.536096,544.777527,-117.123222,3.085133,657.540894
44,0,170.660889,445.670807,332.608948,146.431168,389.322815,315.588196,204.191772,464.953735,336.428711,90.883507,424.850494,326.461243,110.824814,504.755981,313.296722,-119.734001,3.318080,614.187866,-134.756332,0.542673,544.763306,-117.124718,3.085858,657.532043
45,0,169.215088,445.390472,332.618073,144.985138,389.017914,315.718170,202.757538,464.648621,336.408325,89.445129,424.571625,326.533569,109.391464,504.439423,313.163269,-119.740196,3.324697,614.179810,-134.752823,0.546022,544.764465,-117.128258,3.091413,657.525757
46,0,167.756042,445.079407,332.659454,143.508698,388.698395,315.871063,201.288132,464.357452,336.424713,87.996834,424.290924,326.623291,107.928574,504.133453,313.066315,-119.739624,3.328370,614.193787,-134.752441,0.546717,544.774231,-117.122658,3.095823,657.538940
47,0,165.814667,445.304260,332.510742,141.995163,388.363770,315.960205,199.788162,464.007690,336.480682,86.470726,423.986328,326.682190,106.424423,503.801453,313.070435,-119.738274,3.320077,614.201233,-134.748383,0.541033,544.783386,-117.126915,3.091670,657.543762
48,0,164.493332,444.725983,332.603577,140.425308,388.037140,315.991119,198.241333,463.646362,336.571899,84.892174,423.663513,326.720673,104.868385,503.506134,313.173096,-119.735619,3.326177,614.195251,-134.749710,0.541241,544.776123,-117.124496,3.089348,657.539856
49,0,163.081055,444.045929,332.891357,138.799988,387.695953,315.997009,196.647873,463.289856,336.685883,83.268692,423.299927,326.781921,103.257301,503.170135,313.410767,-119.735985,3.324166,614.199890,-134.751633,0.545491,544.781555,-117.123970,3.088080,657.545837
50,0,161.422226,443.690918,332.972473,137.247299,387.470459,315.684601,194.991333,462.914795,336.786560,81.595886,422.950867,326.865540,101.600212,502.844696,313.649597,-119.735306,3.326598,614.197937,-134.754715,0.548168,544.776550,-117.128014,3.097374,657.539856
51,0,159.732468,443.332642,333.057312,135.389359,387.046875,316.045197,193.290710,462.555206,336.866699,79.888733,422.640076,326.985291,99.915199,502.522125,313.845795,-119.736542,3.329759,614.202820,-134.749451,0.551245,544.783264,-117.125969,3.096262,657.544678
52,0,158.017258,443.045532,333.147003,133.612808,386.763672,316.181610,191.583313,462.251923,336.912476,78.155434,422.437683,327.160126,98.236092,502.266113,313.921997,-119.737869,3.334635,614.209961,-134.752213,0.555936,544.790710,-117.127144,3.100440,657.553589
53,0,156.299393,442.796814,333.217041,131.505020,386.823669,316.351562,189.883423,461.943237,336.926788,76.427025,422.299835,327.287170,96.616173,502.066376,313.867188,-119.738510,3.331970,614.205811,-134.750793,0.549341,544.786133,-117.128578,3.103155,657.548279
54,0,154.609634,442.561157,333.232971,130.024643,386.280914,316.559509,188.206284,461.658722,336.893524,74.688782,422.200531,327.348145,95.020920,501.888092,313.686493,-119.737068,3.320210,614.190735,-134.751862,0.538009,544.771484,-117.122879,3.089949,657.532471
55,0,152.911987,442.295746,333.222595,128.249710,386.013458,316.687469,186.516129,461.352295,336.867584,72.947845,422.063873,327.361145,93.419266,501.704468,313.483948,-119.737221,3.314740,614.190674,-134.753189,0.534559,544.769043,-117.127243,3.085194,657.530762
56,0,151.160980,442.002319,333.210785,126.463097,385.727478,316.697998,184.787842,461.052979,336.860107,71.181129,421.832855,327.285126,91.745102,501.445892,313.331451,-119.730515,3.320344,614.204041,-134.751114,0.537540,544.781311,-117.128883,3.089719,657.543091
57,0,149.343185,441.620789,333.169556,124.177460,385.862000,316.474548,183.006775,460.664734,336.866821,69.359810,421.483704,327.077698,89.975571,501.117523,313.242554,-119.731361,3.318265,614.205017,-134.749191,0.541311,544.788330,-117.125595,3.088991,657.546936
58,0,147.465302,441.200592,333.085724,122.462471,385.286652,316.288391,181.172424,460.248962,336.863434,67.476410,421.047485,326.806427,88.133675,500.726593,313.207275,-119.730080,3.310943,614.188660,-134.747513,0.535742,544.771240,-117.121216,3.084566,657.530457
