Hand:Center,Hand:Center,Hand:Center,Hand:Thumb,Hand:Thumb,Hand:Thumb,Hand:Root,Hand:Root,Hand:Root,Hand:Index,Hand:Index,Hand:Index,Hand:Pinky,Hand:Pinky,Hand:Pinky
X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
792.8011325,516.59076225,309.40230199999996,766.7691955,461.12811525,292.573597,826.6245115,534.80752825,312.90040999999997,712.5736315,498.03363325,304.810566,734.3722385,577.08877825,291.73033499999997
792.7841794999999,516.4674102500001,309.381824,766.7850794999999,460.97909825,292.60963799999996,826.6020965,534.71210025,312.860096,712.5565645,497.87933625,304.794941,734.3066555,576.9180632499999,291.626606
792.7479405,516.31866725,309.365772,766.7976835,460.79660325,292.64750999999995,826.5556485,534.58758825,312.82658799999996,712.5225675,497.66510324999996,304.78691499999996,734.1968075,576.6936362499999,291.534809
792.7001805,516.15979225,309.372974,766.7987065,460.61441325,292.702228,826.4956975,534.4655182500001,312.80125799999996,712.4807435,497.42819525,304.81206099999997,734.0809635,576.48007425,291.49831
792.6365665,515.9994232500001,309.35860099999996,766.7764745,460.43332225,292.72673399999996,826.4244235,534.34820825,312.744495,712.4355245,497.18536624999996,304.84642399999996,733.9568785,576.25278025,291.48695699999996
792.5581055,515.75857825,309.27705799999995,766.7415925,460.16385125,292.683094,826.3234555,534.14148225,312.64287199999995,712.3715215,496.85888925,304.86095,733.7999725,575.96054325,291.47591
792.4485625,515.47540525,309.216633,766.6738124999999,459.85290825,292.62663599999996,826.1901095000001,533.88696525,312.558918,712.2808995,496.49164125,304.888325,733.6032865,575.63089225,291.507496
792.3070064999999,515.22970825,309.16423399999996,766.5782165,459.57004025,292.57545799999997,826.0294495,533.67010725,312.470844,712.1659165,496.14850125,304.900013,733.3807375,575.3279142499999,291.539692
792.1479955,514.99600525,309.07497,766.4557805,459.29651125,292.49776099999997,825.8581085,533.47638225,312.345081,712.0241625,495.80545324999997,304.854542,733.1467285,575.02133425,291.477802
791.9563445,514.71744025,308.912891,766.3153535,458.98782624999996,292.393421,825.6551975,533.24524225,312.16493599999995,711.8478465000001,495.43970025,304.739307,732.8897855,574.68490825,291.278889
791.7411345,514.41553025,308.764057,766.1550295,458.63858324999995,292.34099199999997,825.4262395000001,532.97482525,311.98009099999996,711.6446765000001,495.05591125,304.62355399999996,732.6167455,574.31552425,291.026142
791.5105285,514.15603925,308.622059,765.9593045,458.30896225,292.326801,825.1815035,532.7605002500001,311.773151,711.4126055,494.71362525,304.49712,732.3226165,573.98196725,290.717426
791.2498325,513.88720925,308.390949,765.7719425,457.95965824999996,292.246021,824.9224095,532.53354125,311.49657099999996,711.1722485,494.35614325,304.315662,732.0080415,573.61239925,290.322224
790.9751125,513.56308225,308.127857,765.5830384999999,457.55881024999996,292.095875,824.6326755,532.25134525,311.189777,710.9318465,493.93216225,304.10091,731.6468205,573.19620025,289.901569
790.6952054999999,513.17505125,307.877552,765.3958285,457.09842225,291.927753,824.3220524999999,531.92111425,310.92393899999996,710.6859665,493.41659825,303.90398,731.2525025,572.72012625,289.579731
790.4057615,512.79934925,307.645039,765.1974025,456.66998524999997,291.731251,824.0084075,531.62039425,310.648426,710.4218215,492.90823624999996,303.711597,730.8538364999999,572.26419325,289.333149
790.1076665,512.44812325,307.35045199999996,764.9700315,456.28399924999997,291.460621,823.6671295,531.33392625,310.321217,710.1607745,492.40747324999995,303.47923699999996,730.4502255,571.81009225,289.103931
789.7942505,512.09945925,307.034229,764.7249905,455.90362825,291.155079,823.3271635,531.03525025,309.97923699999996,709.8821185,491.92477725,303.230732,730.0381315,571.3638022499999,288.83678
789.4581145,511.75848625,306.716816,764.4605564999999,455.51843525,290.884663,822.9700625,530.72442925,309.643085,709.5741115,491.45068625,302.96721299999996,729.6062015,570.92636425,288.52086299999996
789.0932315,511.43951725,306.37706399999996,764.1757505,455.14483924999996,290.56120699999997,822.5637975,530.47586325,309.285938,709.2194445,491.03238224999996,302.62215,729.1544035,570.54043825,288.128895
788.6939545,511.10071024999996,305.98161699999997,763.8611755,454.78467025,290.125538,822.1517025,530.17633325,308.907856,708.8354035,490.60071024999996,302.154255,728.6804505,570.13693525,287.71205499999996
788.2547305,510.72122425,305.538654,763.5204165,454.39322124999995,289.566608,821.6911775,529.85919425,308.51607099999995,708.4277195,490.08456724999996,301.603779,728.1864625000001,569.68509225,287.315815
787.7841794999999,510.30264524999996,305.09367699999996,763.1271825,453.99542525,288.960407,821.2108455,529.4801972500001,308.156727,707.9874195,489.56085425,301.00575599999996,727.6579895,569.24661525,286.981922
