T
100
,,Base:XYPlane1,,,Base:XYPlane2,,,Base:XYPlane3,,,Base:XYPlane4,,,Base:Zbase,,,OriginTest:O,,,OriginTest:X,,,OriginTest:Y,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
23,0,-559.864929,-91.114578,233.452881,-561.936157,-20.339211,233.802063,-633.484619,-23.698154,236.027954,-628.210144,-93.673256,235.518448,-616.451904,205.866211,34.098843,9.284581,10.222961,43.695591,202.444962,10.324600,36.615559,9.227216,236.533936,43.810993
24,0,-559.861755,-91.111137,233.462952,-561.939514,-20.330421,233.807663,-633.480103,-23.699982,236.040863,-628.210449,-93.670792,235.530457,-616.452454,205.868088,34.110580,9.283829,10.225431,43.701931,202.442047,10.324865,36.623470,9.225234,236.536118,43.822044
25,0,-559.861511,-91.113586,233.460663,-561.939087,-20.335030,233.803314,-633.484680,-23.696333,236.029816,-628.213989,-93.671219,235.522369,-616.452881,205.869614,34.106419,9.283642,10.226523,43.700710,202.440582,10.330549,36.617039,9.226400,236.540237,43.814751
26,0,-559.872314,-91.117447,233.449417,-561.946045,-20.337065,233.795486,-633.496521,-23.699863,236.022919,-628.220886,-93.675446,235.511749,-616.463806,205.867569,34.092663,9.276597,10.228683,43.685833,202.438431,10.329264,36.607777,9.223566,236.536575,43.802338
27,0,-559.870850,-91.119583,233.449615,-561.945557,-20.335882,233.793869,-633.494202,-23.704296,236.019730,-628.225647,-93.675072,235.511871,-616.463623,205.864578,34.092701,9.277826,10.227090,43.686440,202.440552,10.328464,36.609081,9.225156,236.538193,43.807560
28,0,-559.870300,-91.124123,233.455185,-561.949219,-20.340063,233.796448,-633.496399,-23.702700,236.025757,-628.222473,-93.676376,235.517715,-616.465149,205.865646,34.099007,9.278846,10.225734,43.693913,202.438416,10.324119,36.619141,9.222994,236.533463,43.811745
29,0,-559.874695,-91.116920,233.452118,-561.945618,-20.334993,233.798615,-633.493164,-23.698996,236.024734,-628.222595,-93.671326,235.515991,-616.462463,205.871521,34.097496,9.277366,10.230005,43.690567,202.437759,10.332962,36.611820,9.223823,236.540512,43.812202
30,0,-559.876831,-91.117943,233.452316,-561.952148,-20.337954,233.797226,-633.496765,-23.704210,236.027206,-628.227417,-93.677605,235.514374,-616.465393,205.863708,34.097431,9.278633,10.226910,43.692158,202.437683,10.328914,36.610226,9.223719,236.536346,43.811085
31,0,-559.866760,-91.117043,233.450714,-561.946350,-20.341272,233.796524,-633.494263,-23.704294,236.024017,-628.220215,-93.676468,235.513214,-616.459167,205.863571,34.096226,9.280453,10.221714,43.693920,202.442322,10.324083,36.613907,9.227028,236.529984,43.811707
32,0,-559.872131,-91.125015,233.455063,-561.942078,-20.345535,233.800156,-633.492249,-23.707968,236.029266,-628.215454,-93.677940,235.519531,-616.462097,205.860596,34.100498,9.280647,10.220636,43.693859,202.440094,10.327889,36.614189,9.221313,236.532867,43.812771
